"siteA","siteB","MI","MInorm","morphA","morphB","wMI","wMInorm","wmorphA","wmorphB","Dprime","R2"
"8","81",0.523703834724761,0.476695773501376,3,3,0.523703834724761,0.476695773501376,3,3,NA,NA
"8","102",0.384542919756229,0.554778163341274,3,2,0.384542919756229,0.554778163341274,2,2,NA,NA
"8","186",1.00921221810134,0.918624548906917,3,3,1.00921221810134,0.918624548906917,3,3,NA,NA
"8","269",0.955578382575052,0.869804927936439,3,3,0.955578382575052,0.869804927936439,3,3,NA,NA
"8","325",0.96514017556581,0.878508446993513,3,3,0.96514017556581,0.878508446993513,3,3,NA,NA
"8","343",0.199542755324968,0.28787934355265,2,2,0.199542755324968,0.28787934355265,2,2,1,0.293674137288206
"8","375",0.820863418996824,0.747182083673931,3,3,0.820863418996824,0.747182083673931,3,3,NA,NA
"8","401",0.244021973037336,0.22211837201746,3,3,0.244021973037336,0.22211837201746,3,3,NA,NA
"8","453",0.33084369913232,0.477306564047559,3,2,0.33084369913232,0.477306564047559,2,2,NA,NA
"8","482",0.84141642205902,0.765890233286123,3,3,0.84141642205902,0.765890233286123,3,3,NA,NA
"8","501",0.000142713437182534,0.000205891968091461,2,2,0.000142713437182534,0.000205891968091461,2,2,0.018705035971223,0.000285514162927083
"8","506",0.781408207583694,0.711268402550845,3,3,0.781408207583694,0.711268402550845,3,3,NA,NA
"8","512",0.981475471051179,0.893377473722836,3,3,0.981475471051179,0.893377473722836,3,3,NA,NA
"8","608",0.823346686125334,0.749442450824494,3,3,0.823346686125334,0.749442450824494,3,3,NA,NA
"8","630",0.351877957293502,0.507652583985474,2,2,0.351877957293502,0.507652583985474,2,2,1,0.546873371547681
"8","633",0.172417808676667,0.248746317538769,2,2,0.172417808676667,0.248746317538769,2,2,1,0.250475247524752
"8","636",0.344246949758253,0.496643367257384,2,2,0.344246949758253,0.496643367257384,2,2,1,0.534008869636964
"8","663",0.556647350828402,0.506682254121922,3,3,0.556647350828402,0.506682254121922,3,3,NA,NA
"8","708",0.973259990521855,0.885899421079457,3,3,0.973259990521855,0.885899421079457,3,3,NA,NA
"8","734",0.514454412340188,0.468276586423297,3,3,0.514454412340188,0.468276586423297,3,3,NA,NA
"8","740",0.901339212352737,0.820434307580398,3,3,0.901339212352737,0.820434307580398,3,3,NA,NA
"8","757",0.942668858990057,0.858054173172312,3,3,0.942668858990057,0.858054173172312,3,3,NA,NA
"8","773",0.951943874965657,0.866496656540895,3,3,0.951943874965657,0.866496656540895,3,3,NA,NA
"8","779",0.421945307391167,0.608738402499606,3,2,0.421945307391167,0.608738402499606,2,2,NA,NA
"8","785",0.301585172075167,0.435095432158489,2,2,0.301585172075167,0.435095432158489,2,2,1,0.462119006018249
"8","796",0.969355592847602,0.882345485160001,3,3,0.969355592847602,0.882345485160001,3,3,NA,NA
"8","826",0.952920157590839,0.867385307282609,3,3,0.952920157590839,0.867385307282609,3,3,NA,NA
"8","872",0.970994107899187,0.883836925833372,3,3,0.970994107899187,0.883836925833372,3,3,NA,NA
"8","879",0.972692863121928,0.885383199473548,3,3,0.972692863121928,0.885383199473548,3,3,NA,NA
"8","882",0.196304545145168,0.17868409735627,3,3,0.196304545145168,0.17868409735627,3,3,NA,NA
"8","883",0.329458354651096,0.475307934434574,2,2,0.329458354651096,0.475307934434574,2,2,1,0.509067488381491
"8","902",0.959993473735635,0.873823717099935,3,3,0.959993473735635,0.873823717099935,3,3,NA,NA
"8","909",0.823346686125334,0.749442450824494,3,3,0.823346686125334,0.749442450824494,3,3,NA,NA
"8","926",0.347950402613469,0.316718105379381,3,3,0.347950402613469,0.316718105379381,3,3,NA,NA
"8","927",0.458882238285089,0.417692613689412,3,3,0.458882238285089,0.417692613689412,3,3,NA,NA
"8","988",0.380641391180361,0.346474725530176,3,3,0.380641391180361,0.346474725530176,3,3,NA,NA
"8","1020",0.975937570963638,0.888336659830016,3,3,0.975937570963638,0.888336659830016,3,3,NA,NA
"8","1025",0.902584237796146,0.821567578577137,3,3,0.902584237796146,0.821567578577137,3,3,NA,NA
"8","1039",0.63982895083879,0.582397409384961,3,3,0.63982895083879,0.582397409384961,3,3,NA,NA
"8","1061",0.803963450459132,0.731799069382164,3,3,0.803963450459132,0.731799069382164,3,3,NA,NA
"8","1064",0.194969140873289,0.177468560004602,3,3,0.194969140873289,0.177468560004602,3,3,NA,NA
"8","1113",0.882791037098658,0.803551030881786,3,3,0.882791037098658,0.803551030881786,3,3,NA,NA
"8","1125",1.04398882914638,0.950279584449258,3,3,1.04398882914638,0.950279584449258,3,3,NA,NA
"8","1161",0.285186680825353,0.411437410154321,2,2,0.285186680825353,0.411437410154321,2,2,1,0.434601354872329
"8","1164",0.955578382575052,0.869804927936439,3,3,0.955578382575052,0.869804927936439,3,3,NA,NA
"8","1194",0.977521679413146,0.889778577479989,3,3,0.977521679413146,0.889778577479989,3,3,NA,NA
"8","1198",0.297446419346403,0.270747398708792,3,3,0.297446419346403,0.270747398708792,3,3,NA,NA
"8","1216",0.96431641177288,0.877758624875713,3,3,0.96431641177288,0.877758624875713,3,3,NA,NA
"8","1238",0.275686506897366,0.397731556340831,2,2,0.275686506897366,0.397731556340831,2,2,1,0.418713805342799
"8","1248",0.955578382575052,0.869804927936439,3,3,0.955578382575052,0.869804927936439,3,3,NA,NA
"8","1261",0.969355592847602,0.882345485160001,3,3,0.969355592847602,0.882345485160001,3,3,NA,NA
"8","1264",0.329458354651096,0.475307934434574,2,2,0.329458354651096,0.475307934434574,2,2,1,0.509067488381491
"8","1276",0.385005796925561,0.555445953938011,2,2,0.385005796925561,0.555445953938011,2,2,1,0.637707555474608
"8","1281",0.947355480860465,0.862320120239125,3,3,0.947355480860465,0.862320120239125,3,3,NA,NA
"8","1285",0.275686506897366,0.397731556340831,2,2,0.275686506897366,0.397731556340831,2,2,1,0.418713805342799
"8","1343",0.969355592847602,0.882345485160001,3,3,0.969355592847602,0.882345485160001,3,3,NA,NA
"8","1460",0.198920342923105,0.181065099102673,3,3,0.198920342923105,0.181065099102673,3,3,NA,NA
"8","1487",0.95911297568793,0.873022253237946,3,3,0.95911297568793,0.873022253237946,3,3,NA,NA
"8","1491",0.344246949758253,0.496643367257384,2,2,0.344246949758253,0.496643367257384,2,2,1,0.534008869636964
"8","1493",0.96514017556581,0.878508446993513,3,3,0.96514017556581,0.878508446993513,3,3,NA,NA
"8","1516",0.813189408320178,0.740196898130494,3,3,0.813189408320178,0.740196898130494,3,3,NA,NA
"8","1536",0.947355480860465,0.862320120239125,3,3,0.947355480860465,0.862320120239125,3,3,NA,NA
"8","1795",1.01968206415173,0.928154613478728,3,3,1.01968206415173,0.928154613478728,3,3,NA,NA
"8","1954",0.951943874965657,0.866496656540895,3,3,0.951943874965657,0.866496656540895,3,3,NA,NA
"8","2068",0.100860683239131,0.145511207529767,2,2,0.100860683239131,0.145511207529767,2,2,1,0.141027883707099
"8","2131",0.956436147439106,0.870585699162923,3,3,0.956436147439106,0.870585699162923,3,3,NA,NA
"8","2179",0.355190598814872,0.323308415970373,3,3,0.355190598814872,0.323308415970373,3,3,NA,NA
"8","2212",0.913511264990848,0.831513787360174,3,3,0.913511264990848,0.831513787360174,3,3,NA,NA
"8","2238",0.830780389204359,0.756208898966119,3,3,0.830780389204359,0.756208898966119,3,3,NA,NA
"8","2240",0.969355592847602,0.882345485160001,3,3,0.969355592847602,0.882345485160001,3,3,NA,NA
"8","2260",0.282928782035814,0.257532875750752,3,3,0.282928782035814,0.257532875750752,3,3,NA,NA
"8","2262",0.365052611609904,0.332285206869906,3,3,0.365052611609904,0.332285206869906,3,3,NA,NA
"8","2492",0.155461701637175,0.141507339068314,3,3,0.155461701637175,0.141507339068314,3,3,NA,NA
"8","2540",1.00159875395992,0.911694475194883,3,3,1.00159875395992,0.911694475194883,3,3,NA,NA
"8","2546",0.951069256265608,0.865700544291768,3,3,0.951069256265608,0.865700544291768,3,3,NA,NA
"8","2687",0.885226733358876,0.805768097161985,3,3,0.885226733358876,0.805768097161985,3,3,NA,NA
"8","2691",0.344246949758253,0.496643367257384,2,2,0.344246949758253,0.496643367257384,2,2,1,0.534008869636964
"8","2711",0.969355592847602,0.882345485160001,3,3,0.969355592847602,0.882345485160001,3,3,NA,NA
"8","2743",0.951069256265608,0.865700544291768,3,3,0.951069256265608,0.865700544291768,3,3,NA,NA
"8","2783",0.83682282645788,0.761708962378705,3,3,0.83682282645788,0.761708962378705,3,3,NA,NA
"8","2822",0.96514017556581,0.878508446993513,3,3,0.96514017556581,0.878508446993513,3,3,NA,NA
